userId,songId,Q1,Q2,Q3,Extraversion,sociability,assertiveness,energy_level,Agreeableness,compassion,respectfulness,trust,Conscientiousness,organization,productiveness,responsibility,Neuroticism,anxiety,depression,emotional_volatility,Openness,intellectual_curiosity,aesthetic_sensitivity,creative_imagination,rms,lowenergy,eventdensity,pulseclarity,attacktime_mean,attacktime_std,attacktime_slope,attacktime_periodentropy,attackslope_mean,attackslope_std,attackslope_slope,attackslope_periodentropy,zerocross,brightness,centroid,spread,skewness,kurtosis,flatness,mirentropy,inharmonicity,activity,valence,tension,happy,sad,tender,anger,fear,Extraversion_group,Agreeableness_group,Conscientiousness_group,Neuroticism_group,Openness_group,positive_emotion_score,negative_emotion_score,energy_score,complexity_score
16,30951,1,1,1,3.0,2.75,3.25,3.0,3.333333333,3.5,3.5,3.0,2.833333333,2.25,2.75,3.5,3.333333333,3.25,3.75,3.0,2.833333333,2.75,2.5,3.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,Low,Low,High,Low,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
34,30951,3,3,3,2.166666667,1.75,2.5,2.25,3.833333333,4.0,4.0,3.5,3.416666667,3.5,3.25,3.5,3.25,4.0,3.25,2.5,3.25,4.5,2.5,2.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,High,High,Low,Low,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
78,30951,4,3,2,2.583333333,2.5,3.25,2.0,2.5,3.25,2.5,1.75,2.25,2.25,1.5,3.0,4.166666667,4.25,4.25,4.0,4.416666667,4.75,4.75,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,Low,Low,High,High,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
236,30951,3,2,2,3.0,3.25,2.75,3.0,3.166666667,3.25,3.75,2.5,4.25,4.75,4.0,4.0,2.916666667,3.5,2.5,2.75,3.583333333,4.0,3.0,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,Low,High,Low,Low,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
238,30951,1,1,1,1.833333333,1.5,2.25,1.75,4.416666667,4.75,4.5,4.0,3.833333333,4.0,3.0,4.5,3.916666667,5.0,4.5,2.25,4.416666667,5.0,5.0,3.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,High,High,High,High,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
239,30951,2,1,1,3.833333333,3.75,4.25,3.5,2.583333333,2.75,3.0,2.0,3.833333333,3.75,3.75,4.0,2.333333333,2.75,2.25,2.0,4.083333333,5.0,3.0,4.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,High,Low,High,Low,High,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
285,30951,2,1,1,3.166666667,3.0,2.75,3.75,3.25,3.25,3.25,3.25,3.916666667,4.5,3.75,3.5,1.833333333,1.75,2.0,1.75,4.333333333,5.0,3.0,5.0,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,High,Low,High,Low,High,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
289,30951,2,4,2,3.25,3.5,3.0,3.25,2.75,3.0,2.75,2.5,3.25,3.5,3.25,3.0,3.333333333,3.25,3.75,3.0,4.583333333,4.5,5.0,4.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,High,Low,High,High,High,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
305,30951,3,3,3,2.166666667,1.5,3.25,1.75,4.25,4.75,4.0,4.0,3.5,3.5,3.25,3.75,3.916666667,4.75,3.75,3.25,3.916666667,4.25,3.75,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,Low,High,High,High,Low,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
306,30951,1,1,1,4.0,4.75,4.0,3.25,3.083333333,2.75,3.0,3.5,2.916666667,3.5,2.5,2.75,2.833333333,3.0,3.0,2.5,3.833333333,3.75,3.25,4.5,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2373280000000.0,8.47511e+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633,High,Low,Low,Low,Low,7.1415501065,3.3613299783333335,6.3392633405,0.6903538235
